question_text,option_a,option_b,option_c,option_d,correct_index,section_name,year
"In May 2025, who took charge as the new Vice Chief of the Air Staff?",Air Marshal Nagesh Kapoor,Air Marshal Sujeet Pushpakar Dharkar,Air Marshal Vijay Kumar Garg,Air Marshal Namdeshwar Tiwari,3,General Awareness,2023
The term 'License Raj' is related to which sector of the Indian economy?,Industry,Agriculture,Foreign Trade,Services,0,General Awareness,2023
Which team did the United States defeat to win the gold medal at the 2025 International Ice Hockey Federation (IIHF) World Championship?,Finland,Switzerland,Canada,Sweden,1,General Awareness,2023
"Where was the 55th World Economic Forum Annual Meeting, 2025, held?",Peru,Brazil,Belgium,Switzerland,3,General Awareness,2023
What is the focus of the Scheme of Human Resources Development in Sports?,Building swimming pools for agile swimmers,Construction of gyms in every part of India,Establishing fitness clubs for youngsters,Training and development of sports professionals,3,General Awareness,2023
"Which of the following Vedas mentions the names of some learned ladies like Viswavara, Apala and Ghossa who composed mantras and attained the rank of Rishis?",The Samaveda,The Yajurveda,The Rigveda,The Atharvaveda,2,General Awareness,2023
Why is legal enforceability of rules important in a society?,So people can break them without fear,To punish minorities,It provides assurance that others will follow the rules.,It gives power to the police only.,2,General Awareness,2023
"4 years ago, the age of a father was 37 years more than twice his son's age. After how many years, from now, will he be twice his son's age?",1.31,2.35,3.30,4.33,3,General Awareness,2023
"Given that 103^0.2 = x, 103^0.42 = y and x^2 = y^6, then the value of z is close to:",1.14.16,2.12.9,3.11.74,4.12.45,1,General Awareness,2023
The selling price of 50 books is equal to the cost price of 19 books. Find the loss or gain percentage.,62% loss,100/31 % gain,62% gain,100/31 % loss,0,Mathematics,2023
The sum of the squares of two consecutive even natural numbers is 1460. The sum of the numbers is:,60,54,56,58,1,Mathematics,2023
"Himanshu bought a toy for ₹199, decorated it at a cost of ₹9, and sold it for:",575% profit,575/52 % loss,585/52 % loss,575/52 % profit,3,Mathematics,2023
The average of first 154 even numbers is,155,155.5,156,154.5,0,Mathematics,2023
"Pipe A can fill a tank in 11 hours, pipe B can fill the same tank in 26 hours and pipe C can fill the same tank in 12 hours. The time taken by them to fill the same tank if they operate together is:",11 256/365 hours,10 256/365 hours,7 256/365 hours,4 256/365 hours,3,Mathematics,2023
"A number, when increased by 100%, gives 2800. The number is:",1400,4200,700,2000,0,Mathematics,2023
"Yash travels 252 km at 63 km/hr, the next 891 km at 99 km/hr and the next 183 km at 61 km/hr. What is his average speed (in km/hr) for the whole journey? (Round off your answer to two decimal places)",1. 88.59,2. 79.83,3. 82.88,4. 84.55,2,Mathematics,2023
An amount of #638 is divided among three persons in the ratio of 5 : 17 : 7. The difference between the largest and the smallest shares (in £) in the distribution is:,1. 170,2. 264,3. 190,4. 331,1,Mathematics,2023
"If the 5-digit number N20M11 is divisible by 11, then which of the options below can give a possible correct relation between M and N?",1. M = N,2. M - N = 7,3. M + N = -7,4. M - N = 1,1,Mathematics,2023
"Lokesh and Manoj can complete a certain piece of work in 11 and 15 days, Manoj left. In how many days will Lokesh complete the remainder?",1. 2/3,2. 1/3,3. 7/3,4. 7/2,1,Mathematics,2023
A cylinder has its radius reduced by 20% while its height is increased by 40%. What is the percentage change in its volume?,1. 12% increase,2. 10.4% decrease,3. 14.2% increase,4. No increase or decrease,1,Mathematics,2023
Find the simple interest (in £) if a sum of £400 is borrowed for 5.5 years at 16% per annum rate of interest.,1. 452,2. 402,3. 332,4. 352,3,Mathematics,2023
"A cylindrical rod has an outer curved surface area of 2200 cm². If the length of the rod is 16 cm, then the outer radius (in cm) of the rod, correct to two places of decimal, is. (Take π = 22/7)",1.21.88,2.23.98,3.23.29,4.21.09,0,Mathematics,2024
Evaluate 182².,1.33074,2.33094,3.33084,4.33124,3,Mathematics,2024
"Find the simple interest (in €) on €4,000 at 7.5% per annum rate of interest deposited on 12 February 2024 and withdrawn on 13 April 2024.",1.50,2.49,3.48,4.51,0,Mathematics,2024
A man walks to a viewpoint and returns to the starting point by his car maintaining constant speed and thus takes a total time of 5 hours 30 minutes. He would have gained 1 hour 30 minutes if he had walked both ways. How long would it have taken for him to walk both ways with same walking speed?,1.9 hours 30 minutes,2.8 hours 45 minutes,3.8 hours 30 minutes,4.7 hours 15 minutes,2,Mathematics,2024
"The population of a district is 356000, out of which 178000 are males. 39% of the population is literate. If 69% males are literate, then what percentage of females are literate?",1.16%,2.19%,3.17%,4.21%,1,Mathematics,2024
Simplify: cosα / (1 - sinα) - 1 + sinα / cosα.,1.1,2.sin²α / cosα,3.cos²α,0,3,Mathematics,2024
"If 40% of first number is equal to two-sevenths of second number, what is the ratio of first number to the second number?",1.8 : 4,2.4 : 8,3.5 : 7,4.1 : 9,2,Mathematics,2024
"The average weight (in kg) of a family of five members whose weights are 40 kg, 49 kg, 56 kg, 74 kg and 38 kg is:",1. 53,2. 52,3. 50,4. 51,3,Mathematics,2023
The number 861616843 is divisible by which of the following?,1. 47,2. 43,3. 36,4. 50,1,Mathematics,2023
"ABCD is a quadrilateral in which AB || DC, and E and F are the mid points of the diagonals AC and BD respectively. If AB = 45 cm, BC = 96 cm, DC = 53 cm, and AD = 37 cm, then what is the length of EF?",1. 4,2. 7,3. 5,4. 3,0,Mathematics,2023
"Mohan and Nishant start a business. Mohan invests ₹89,000 more than Nishant for 3 months and Nishant invests for 2 months. Mohan's share is ₹1,070 more than that of Nishant, out of a total profit of ₹4,200. Find the capital contributed by Mohan.","1. ₹80,000","2. ₹8,10,000","3. ₹8,90,000","4. ₹8,20,000",2,Mathematics,2023
"By availing two successive discounts of 20% and 10%, a customer got a discount of ₹23,800. Determine the marked price of the item.","1. ₹90,000","2. ₹85,000","3. ₹75,000","4. ₹80,000",1,Mathematics,2023
"An article is marked at ₹4,000. Two successive discounts of 25% and 20% are given. What is the final price?","1. ₹2,500","2. ₹2,400","3. ₹2,560","4. ₹2,600",1,Mathematics,2023
Simplify 4(7x - 4) + 2(x² - 2) + 11.,1. -9x² - 4x + 7,2. 9x² - 4x + 7,3. -9x² - 4x - 7,4. 9x² - 4x - 7,1,Mathematics,2023
"The number of prime numbers lying between 393 and 401, both included, is:",1,2,3,4,1,Mathematics,2024
The number 956169 is divisible by which of the following?,1,2,3,4,2,Mathematics,2024
"Ram started from Point A and walked 5 km towards the east, and then, after turning to his right, walked 4 km. He then turned to his right and walked 5 km. Again he turned to his right and walked 5 km to stop at Point P. In which direction should he walk to reach Point A again? (All turns are 90-degree turns only unless specified.)",North,East,West,South,3,Mathematics,2024
"If 'A' stands for '÷', 'B' stands for 'x', 'C' stands for '+' and 'D' stands for '−', what will come in place of the question mark (?) in the following equation? 99 A 9 C 12 B 2 D 16 = ?",126,119,112,135,1,Mathematics,2024
What should come in place of the question mark (?) in the given series based on the English alphabetical order? ZWR VSN ROJ NKF ?,JGB,JHA,JGA,JHB,0,Mathematics,2024
"H, J, J, K, U, V and W are sitting around a circular table facing the centre of the table. V sits to the immediate left of I. H sits to the immediate left of J. J sits second to the left of K. W sits third to the left of I. Who sits third to the right of U?",1. W,2. H,3. V,4. K,0,Mathematics,2024
"Refer to the following number and symbol series and answer the question that follows. Counting to be done from left to right only. (Left) 6 & 3 * # 2 @ 4 # 1 & 8 £ Ω 5 ^ $ % 7 % 9 (Right) How many such symbols are there, each of which is immediately preceded by an odd number but NOT immediately followed by an even number?",1. None,2. Two,3. One,4. Three,3,Mathematics,2024
"Rouf starts from Point A and drives 4 km towards South. He then takes a left turn, drives 9 km, turns left and drives 8 km. He then takes a left turn and drives 16 km. He takes a final left turn, drives 4 km and stops at Point P. How far (shortest distance) and towards which direction should he drive in order to reach Point A again? (All turns are 90° turns only unless specified)",1. 6 km to the South,2. 5 km to the West,3. 7 km to the East,4. 4 km to the South,2,Mathematics,2024
"If 'A' stands for '+', 'B' stands for 'x', 'C' stands for '÷' and 'D' stands for '-', what will come in place of the question mark (?) in the following equation? 63 A 7 C 18 D 8 B 2 = ?",1. 18,2. 28,3. 11,4. 5,2,Mathematics,2024
"Refer to the following number and symbol series and answer the question that follows. Counting to be done from left to right only. (Left) # @ 8 4 5 % $ 3 8 2 8 2 9 4 £ & % # @ £ 1 * (Right) How many such symbols are there, each of which is immediately preceded by a number and also immediately followed by a symbol?",1. 1,2. 2,3. 4,4. 3,1,Mathematics,2024
"Seven boxes A, B, C, D, E, F and G are kept one over the other but not necessarily in the same order. Only A is kept above D. Only E is kept between D and F. Only B is kept below G. How many boxes are kept below F?",1,2,3,4,0,Mathematics,2024
"Based on the English alphabetical order, three of the following four letter-clusters are alike in a certain way and thus form a group. Which letter-cluster DOES NOT belong to that group? (Note: The odd one out is not based on the number of consonants/vowels or their position in the letter-cluster)",NJO,IEK,FBH,LHN,3,Mathematics,2024
"What should come in place of the question mark (?) in the given series? 59, 60, 64, 73, 89, ?",113,115,114,116,2,Mathematics,2024
Select the triad that follows the same pattern as that followed by the two triads given below. Both triads follow the same pattern. BI-EK-GJ EL-HN-JM,GO-KQ-NP,GO-LQ-NP,HO-KQ-NP,HO-KQ-MP,3,Mathematics,2024
Each of the digits in the number 9238471 is arranged in ascending order from left to right. What will be the sum of the digits that are second from the left and second from the right in the new number thus formed?,1,2,3,4,2,Mathematics,2024
"Read the given statements and conclusions carefully. Assuming that the information given in the statements is true, even if it appears to be at variance with commonly known facts, decide which of the given conclusion(s) logically follow(s) from the statements. Statements: Some Indians are Americans. Some Americans are Chinese. Conclusions (I): No Chinese is an American. Conclusions (II): All Indians are Chinese.",Only conclusion (I) follows.,Only conclusion (II) follows.,Neither conclusion (I) nor (II) follows.,Both conclusions (I) and (II) follow.,2,Mathematics,2024
"FRIJZ is related to IVXD in a certain way based on the English alphabetical order. In the same way, RHGP is related to ULJT. To which of the given options is ATPB related, following the same logic?",DFSE,DESW,DXSF,DXFS,2,Mathematics,2024
"In a certain code language, 'YORK' is coded as '0834' and 'KRAY' is coded as '3458'. What is the code for 'A' in the given code language?",1,2,3,4,3,Mathematics,2024
"Read the given statement(s) and conclusions carefully. Assuming that the information given in the statements(s) is true, even if it appears to be at variance with commonly known facts, decide which of the given conclusions logically follows(s) from the statement(s). Statements: Some paintings are frame. All frames are decoratives. Conclusions: (i) Some paintings are decoratives. (ii) All decoratives are frame.",Neither conclusion (i) nor (ii) follows.,Only conclusion (ii) follows.,Both conclusions (i) and (ii) follow.,Only conclusion (i) follows.,3,Mathematics,2024
"If 'A' stands for '÷', 'B' stands for '×', 'C' stands for '+' and 'D' stands for '−', what will come in place of the question mark (?) in the following equation? 49 A 7 C 24 D 8 B 2 = ?",1,2,3,4,1,Mathematics,2024
What should come in place of the question mark (?) in the given series? 22 26 32 40 50 ?,76,84,62,70,2,Mathematics,2024
"In a certain code language, 'life is good' is coded as 'tu ro na' and 'she loves life' is coded as 'ko ie na'. How is 'life' coded in the given language?",ie,na,tu,ko,1,Mathematics,2024
What should come in place of the question mark (?) in the given series? 81 ? 36 21 11 6,52,56,54,48,1,Mathematics,2024
"Seven boxes A, B, C, D, E, F and G are kept one over the other but not necessarily in the same order. B is kept second from the bottom. Only three boxes are kept between B and E. C is kept at one of the positions below B. Only A is kept between E and F. G is kept at one of the positions above E. How many boxes are kept between C and D?",3,1,2,4,1,Mathematics,2024
"In the following number-pairs, the second number is obtained by applying certain mathematical operation(s) to the first number. Select the operation(s) which the numbers are related in the same way as are the members of the following pair: (NOTE: Operations should be performed on the whole numbers, without breaking down the numbers into their constituent digits. E.g. 13 – Operations on 13 such as adding to/subtracting from/multiplying with 13 can be performed. Breaking down 13 into 1 and 3 and then performing mathematical operations on 1 and 3 is not allowed.) 16, 47 24, 71","27, 101","15, 62","12, 45","35, 104",3,Mathematics,2024
"Six people, L, M, N, O, P and Q are sitting in a row, facing north. Only two people sit to the right of P. Q sits second to the left of M. N is not an immediate neighbour of M. O sits on the immediate right of P. Who sits to the immediate right of L?",N,Q,M,P,2,Mathematics,2024
What should come in place of the question mark (?) in the given series based on the English alphabetical order? GDB OLJ WTR EBZ ?,HJM,MHJ,MJH,HMJ,2,Mathematics,2024
Suman ranked 22nd from the top and 13th from the bottom in his class. How many students are there in his class?,33,31,32,34,3,Mathematics,2024
"In a certain code language, 'Q + E' means 'Q is the daughter of E', 'E - R' means 'E is the father of R', 'R x C' means 'R is the son of C', 'C ÷ D' means 'C is the sister of D'. Based on the above, how is Q related to D if 'Q + E - R x C ÷ D'?",Sister's daughter,Daughter,Mother,Sister,0,Mathematics,2024
"As per the Ministry of Agriculture data from 1950-51 to 2014-15, which land use category in India has shown a declining trend?",Forest area,Barren and wasteland,Net sown area,Area under non-agricultural use,1,General Awareness,2024
Which of the following instruments is primarily used by the RBI for monetary policy implementation in the post 1991 reform era?,Tariff rates,Export incentives,Direct taxes,Repo rate,3,General Awareness,2024
Which sector(s) employed the largest share of the working population in India on the eve of independence?,Tertiary sector,Primary sector,Secondary sector,Both tertiary and secondary sectors,1,General Awareness,2024
"The First Battle of Panipat was fought in 1526, replacing the Lodi Dynasty with Mughal rule in India. It was fought between Ibrahim Lodi and _____.",Akbar,Babar,Shah Jahan,Aurangzeb,1,General Awareness,2024
What was India’s Human Development Index (HDI) value in the 2025 UNDP report?,0.676,0.700,0.685,0.690,2,General Awareness,2024
Which important Sikh festival is on 5 November 2025?,Guru Nanak Jayanti,Lohri,Holi,Baisakhi,0,General Awareness,2023
Which of the following was the objective of the law enacted in 1856 in India?,Banning of child labour,Temple entry for Shudras,Abolition of caste system,Legalising widow remarriage,3,General Awareness,2023
In which year did Andre-Marie Ampère publish his magnum opus 'Mathematical Theory of Electrodynamic Phenomena Deduced Solely from Experiments'?,1818,1833,1811,1827,3,General Awareness,2023
Which of the following Articles deals with the citizenship of people of Indian origin residing outside India?,Article 7,Article 11,Article 8,Article 9,2,General Awareness,2023
Which of the following is a discretionary power of the President of India?,Appointing the Chief Justice of India,Dissolving the Lok Sabha without advice,Appointing a Prime Minister when no party has a clear majority,Giving assent to a Money Bill,2,General Awareness,2023
Which of the following is a feature of the Eastern Coastal Plain of India?,Narrow and rocky,Wider and formed by alluvial deposits,Presence of numerous estuaries,Located between the Western Ghats and the Arabian Sea,1,General Awareness,2023
Which Indian relay team set a national record in the 4x100m event at the National Relay Carnival 2025?,"Gurindervir Singh, Animesh Kujur, Manikanta H, Amilan Borgohain","Srabani Nanda, Dutee Chand, Hima Das, Archana Suseendran","Amiya Mallick, Mohammed Anas, Noah Nirmal Tom, Rajesh Ramesh","Gurindervir Singh, Animesh Kujur, Manikanta H, Amiya Mallick",0,General Awareness,2023
The Indian handicraft industry suffered significant decline under colonial economic policies. What was a major reason for the decline of Indian handicrafts during British rule?,Lack of domestic demand,Rise of Indian industry,Influx of machine-made British goods,Environmental degradation,2,General Awareness,2023
"Which desktop element in Windows displays system notifications, date and time, and background apps status?",Start Menu,File Explorer,Control Panel,Notification Area,3,General Awareness,2023
Which of the following Indian organizations successfully conducted the combat firing of the Multi-Influence Ground Mine (MIGM) in May 2023?,Hindustan Aeronautics Limited and Indian Air Force,Indian Space Research Organisation and Indian Army,Defence Research and Development Organisation and Indian Navy,Bharat Dynamics Limited and Indian Coast Guard,2,General Awareness,2023
Which of the following countries does NOT share a land border with India?,Myanmar,Afghanistan,Sri Lanka,China,2,General Awareness,2023
Which leader played the most crucial role in integrating princely states into India post-independence?,Sardar Vallabhbhai Patel,Jawaharlal Nehru,BR Ambedkar,Subhas Chandra Bose,0,General Awareness,2023
"Which level of government generally legislates on matters such as police, public health and agriculture in India?",State Legislatures,Inter-State Council,Local Bodies,Union Government,0,General Awareness,2023
By what year is the India-UK FTA expected to be fully implemented?,2026,2025,2030,2027,0,General Awareness,2023
How many total Sustainable Development Goals (SDGs) were adopted at the United Nations Sustainable Development Summit in New York in September 2015?,17,16,15,18,0,General Awareness,2023
Which film won the Best Picture award at the 25th IIFA Awards in 2025?,Laapataa Ladies,Bhool Bhulaiyaa 3,Article 370,Stree 2,0,General Awareness,2023
Article 6 of the Constitution pertains to the citizenship of persons who migrated to India from which of the following territories?,Myanmar,Bangladesh,Pakistan,Sri Lanka,2,General Awareness,2023
Which Act first created the position of a Governor-General of India with civil and military authority?,Regulating Act,Charter Act 1833,Pitt's India Act,Government of India Act 1858,1,General Awareness,2023
Impulse is defined as _______.,rate of change of force,change in displacement,product of mass and velocity,product of force and time,3,General Awareness,2023
Which of the following administrative features was common to both Pallava and Pandya kingdoms?,Division of the kingdom into Mandalams and Nadus,Abolition of land revenue taxes,Village assemblies were called Sabha and Ur,Rule by elected monarchs,2,General Awareness,2023
Article 323B of the Constitution of India (added by the 42nd Amendment) empowers the Parliament to establish tribunals for adjudication of matters related to certain subjects. Which of the following matters is specifically covered under Article 323B?,"Matters such as taxation, foreign exchange, land reforms, etc., which can be assigned to tribunals by legislation",Only industrial disputes between employers and workers,Appointment of Supreme Court judges,Recruitment and service conditions of public servants (civil services),0,General Awareness,2023
Which of the following is a small hand-held pointing device that controls the two-dimensional movement of the cursor on a screen?,Scanner,Touchscreen,Keyboard,Mouse,3,General Awareness,2023
What was the theme of the IAS-DARPG India Conference held in New Delhi in February 2025?,Innovations in Public Policy,Digital Transformation in Governance – Empowering Citizens and Reaching the Last Mile,Strengthening Federal Structures,Next Generation Administrative Reforms – Empowering Citizens and Reaching the Last Mile,3,General Awareness,2023
Which economic system dominated India on the eve of independence (in 1947)?,Colonial agrarian economy,Socialist planned economy,Import substitution industrialisation,Global free market,0,General Awareness,2023
In which northeastern state was the Hornbill Festival held with record participation in December 2024?,Assam,Meghalaya,Manipur,Nagaland,3,General Awareness,2023
"The government initiative known as KIRTI, an acronym for Khelo India Rising Talent Identification, was inaugurated in _____.",2022,2025,2024,2023,2,General Awareness,2023
"Which state government introduced the Drone Promotion and Utilisation Policy, 2025?",Punjab,Odisha,Madhya Pradesh,Jharkhand,2,General Awareness,2023
What is the primary goal of the Indian government's Bhashini project?,To digitise ancient Indian manuscripts,To establish a national database of dialects,To create a multilingual AI platform for real-time translation among Indian languages,To develop a new programming language for Indian developers,2,General Awareness,2023
"Harold C Urey was awarded the Nobel Prize in Chemistry, in 1934:",for the discovery of heavy hydrogen,for discovery in the chemistry of the transuranium elements,for the development of the density-functional theory,for the discovery and development of conductive polymers,0,General Awareness,2023
What is the purpose of the 'Melt and Pour' rule introduced in the DMI&SP Policy 2025?,Steel exports must include documentation of Indian melting processes,Importing partially processed steel and finishing it domestically qualifies as 'domestic',Biometric authentication is required at smelting plants for traceability,Steel used in government-funded projects is completely manufactured in India,3,General Awareness,2023
"Which version of the skill development scheme, launched by the government and implemented from FY 2022 to 2026, aims to provide free training to rural youth in India?",Pradhan Mantri Kaushal Vikas Yojana 4.0,Pradhan Mantri Kaushal Vikas Yojana 2.0,Deen Dayal Upadhyaya Grameen Kaushalya Yojana 2.0,Skill India 3.0,1,General Awareness,2023
Which Indian space tech startup along with Google launched India's first private satellite constellation?,Ship Rocket,Pixxel,Udaan,Livspace,1,General Awareness,2023
The Gulf of Mannar lies between:,India and Maldives,mainland India and Andaman Islands,Sri Lanka and Maldives,India and Sri Lanka,3,General Awareness,2023
Kathputli is a traditional puppet show of which of the following Indian states?,Rajasthan,Assam,Kerala,Odisha,0,General Awareness,2023
Which Indian city was announced by the global governing body WPA as the host of the 2025 Para Athletics World Championships?,New Delhi,Bengaluru,Mumbai,Chennai,0,General Awareness,2023
The average of first 160 even numbers is,160.5,161.5,161,162,2,General Awareness,2023
The LCM of the numbers 12.8 and 0.004 is:,0.128,12.8,128,1.28,1,General Awareness,2023
The product of two consecutive natural numbers is 702. The greater of the two numbers is:,27,26,24,38,0,General Awareness,2023
The simple interest on a certain sum for 3 1/3 years at the rate of 4.2%,"₹75,143","₹75,148","₹75,131","₹75,150",3,Mathematics,2023
"Which of the following numbers divides 81,42,42,541?",1.12,2.7,3.15,4.8,1,Mathematics,2023
"I bought two dresses for ₹1,200. I sold the first one at a loss of 9% and the second at a gain of 13%. If, on the whole I made neither a loss nor a gain, find the cost price (in ₹) of the first dress.",784,820,824,800,3,Mathematics,2023
Find the value of x satisfying: 5(2x² - 7) - 2(5x² + 8x - 2) = 12,43/16,49/16,53/16,39/16,0,Mathematics,2023
"Rahul, Monika, and Yuvraj invest ₹1,310, ₹1,430, and ₹1,040, respectively, to start a business. If the profit at the end of the year is ₹1,690, then what is the share of Yuvraj in the profit?",₹519,₹620,₹622,₹623,1,Mathematics,2023
"After giving two successive discounts, each of x% on the marked price of an article, the total discount is ₹18,000. If the marked price of the article is ₹50,000, find the value of x.",1.40,2.20,3.10,4.30,1,Mathematics,2023
Which of the following statements is correct?,A square is a special case of both a rectangle and a rhombus.,A square is a special case of neither a rectangle nor a rhombus.,A square is a special case of a rhombus only.,A square is a special case of a rectangle only.,0,Mathematics,2024
"In covering a distance of 30 km, Amnol takes 7 hours more than Nikhil. If Amnol doubles his speed, then he would take 8 hours less than Nikhil. Amnol's speed is:",1.3 km/hr,2.6 km/hr,3.7 km/hr,4.1 km/hr,3,Mathematics,2024
By how much is 65% of 65 greater than 1/5 of 45?,1.33.25,2.31.25,3.27.25,4.30.25,0,Mathematics,2024
"The current population of a town is 12,500. It increases by 5% and 3% in two successive years but decreases by 15% in the third year. What is the population of the town at the end of the third year?","1.20,995","2.20,990","3.20,991","4.20,998",0,Mathematics,2024
Find the value of: [459 ÷ {11 + 2 × (5 - 9)}],1.154,2.153,3.152,4.155,1,Mathematics,2024
What is the area of a triangle with a base of 12 cm and a height of 8 cm?,1.16 cm²,2.24 cm²,3.96 cm²,4.48 cm²,3,Mathematics,2024
"A trader claims to sell vegetables at a profit of 57%, but also dishonestly uses a weight which is 13% less than what is mentioned on it. Find the total percentage of profit earned by the trader. (Round off the answer to the nearest whole number.)",1.79%,2.85%,3.75%,4.80%,3,Mathematics,2024
A retailer offers the following discount scheme to his customers for the purchase of articles. 'Buy 30 and get 10 free' Find the discount percentage offered.,28%,30%,26%,25%,3,Mathematics,2024
"3 years ago, the age of a father was 21 years more than twice his son’s age. After how many years, from now, will he be twice his son’s age?",21,18,23,15,1,Mathematics,2024
"If the 6-digit number N18M05 is divisible by 11, then which of the options below can give a possible correct relation between M and N?",M - N = 1,M - N = 2,M = N,M + N = -2,1,Mathematics,2024
"If x/y = cot θ, where θ is an acute angle, then cosec θ = _______",√(x² + y²) / x,√(x² + y²) / y,y / x,√(y² - x²) / y,1,Mathematics,2024
The perimeter of a square is 336 m. Its area (in m²) is:,7056,7052,7057,7036,0,Mathematics,2024
"Find the median of 26, 13, 14, 15, 8, 36, 23, 35 and 50.",13,23,50,26,1,Mathematics,2024
"Pipe P can fill 3/4 part of a tank in 27 hours, and pipe Q can fill 2/3 part of the tank in 27 hours. Both P and Q were kept open for 6 hours, then both were closed. Pipe P emptied the water in the tank in 8 hours. Pipes P, Q and R together can empty the tank in how many hours?",45 hours,48 hours,37 hours,31 hours,1,Mathematics,2024
"Which of the following numbers divides 86,16,16,843?",1.50,2.47,3.43,4.36,2,Mathematics,2024
"Sapna invested ₹20,900 on simple interest, partly at 9% per annum and partly at 13% per annum. If she earns equal interests from the two investments after 3 years, then find the sum invested at 9% per annum (in ₹).","12,348","12,349","12,350","12,352",2,Mathematics,2024
"₹12,300 were divided among A, B and C such that 3 times the share of A = 6 times the share of B = 2 times the share of C. Find the share of A.","₹3,915","₹3,924","₹4,100","₹4,063",2,Mathematics,2024
A man driving a car at a speed of 99 km/hr crosses a bridge in 1.2 minutes. Find the length (in metres) of the bridge.,"1,970","1,980","1,950","1,960",1,Mathematics,2024
Find the value of 50^-6 ÷ 50^19 × 50^-5.,50^-19,50^-29,50^-36,50^-32,1,Mathematics,2024
"Pipe A can fill a tank in 18 hours, pipe B can fill the same tank in 21 hours and pipe C can fill the same tank in 16 hours. The time taken by them to fill the same tank if they operate together is:",7 6/167 hours,6 6/167 hours,13 6/167 hours,11 6/167 hours,1,General Intelligence and Reasoning,2024
"A, B, C, D, Q, R and S are sitting around a circular table, facing the centre of the table. Q sits to the immediate right of D. Only three people sit between Q and S, when counted from the left of Q. Only three people sit between D and C. A sits to the immediate right of R. How many people sit between B and P, when counted from the right of P?",Four,One,Two,Three,0,General Intelligence and Reasoning,2024
Town H is to the east of town R and to the north of town D. Town E is southeast of town H. In which direction is town D with respect to town R?,Southeast,Southwest,North,West,0,General Intelligence and Reasoning,2024
"In a certain code language, 'EARS' is coded as '4259' and 'SARI' is coded as '9725'. What is the code for 'T' in the given code language?",1 5,2 9,3 7,4 2,2,General Intelligence and Reasoning,2024
Which of the following letter-clusters will replace the question mark (?) in the given series to make it logically complete? VRM 9 WTJ 6 XVG 3 YXD 0 ?,ZZA 6,ZYZ 3,ZZZ 6,ZZA 3,3,General Intelligence and Reasoning,2024
Each of the digits in the number 18758436 is arranged in descending order from left to right. The position(s) of how many digits will remain unchanged as compared to that in the original number?,Two,One,Three,None,2,General Intelligence and Reasoning,2024
"Seven boxes V, W, X, Y, Z, Q and R are kept one over the other but not necessarily in the same order. Only two boxes are kept between Q and V. Only Y is kept above W. No box is kept below V. X is kept at some place below Z but at some place above R. Which box is kept third above R?",Q,X,Z,W,2,General Intelligence and Reasoning,2024
"Seven boxes U, V, W, X, E, F and G are kept one over the other but not necessarily in the same order. Only two boxes are kept between V and X. Only W is kept above F. No box is kept below X. E is kept at some place below G but at some place above U. Which box is kept third above U?",G,W,E,X,0,General Intelligence and Reasoning,2024
"What should come in place of the question mark (?) in the given series? 99, 100, 102, 106, 114, ?",135,130,125,103,1,General Intelligence and Reasoning,2024
"If all the symbols are dropped from the series, which of the following will be sixth from the right?",1 1,2 4,3 9,4 5,2,General Intelligence and Reasoning,2024
How many such symbols are there that are immediately preceded by a number and also immediately followed by another symbol?,One,Four,Two,Three,2,General Intelligence and Reasoning,2024
"SWER is related to GKSF in a certain way based on the English alphabetical order. In the same way, WAIV is related to KOWJ. To which of the given options is MQYL related, following the same logic?",AEMZ,AZME,AEMU,AZEM,0,General Intelligence and Reasoning,2024
What should come in place of the question mark (?) in the given series? 3 13 28 48 ? 103,68,71,70,73,3,General Intelligence and Reasoning,2024
"Read the given statements and conclusions carefully. Assuming that the information given in the statements is true, even if it appears to be at variance with commonly known facts, decide which of the given conclusion(s) logically follow(s) from the statements.

Statements:
All trams are cows.
No cow is a bun.

Conclusions:
(I) No tram is a bun.
(II) Some buns are cows.",Neither conclusion (I) nor (II) follows.,Only conclusion (I) follows.,Both conclusions (I) and (II) follow.,Only conclusion (II) follows.,1,General Intelligence and Reasoning,2024
Each of the digits in the number 8834612 is arranged in ascending order from left to right. What will be the sum of the digits that are second from the left and second from the right in the new number thus formed?,10,6,8,7,0,General Intelligence and Reasoning,2024
"If ÷ means −, − means ×, × means ÷ and ÷ means +, then what will come in place of the question mark (?) in the following equation? 51 ÷ 8 − 8 + 80 × 4 = ?",14,7,26,20,1,General Intelligence and Reasoning,2024
What should come in place of the question mark (?) in the given series? 90 90 91 95 104 ?,121,122,119,120,3,General Intelligence and Reasoning,2024
"Read the given statements and conclusions carefully. Assuming that the information given in the statements is true, even if it appears to be at variance with commonly known facts, decide which of the given conclusion(s) logically follow(s) from the statements. Statements: All cars are buses. Some cars are trucks. Conclusions (I): Some trucks are cars. Conclusions (II): Some buses are cars.",Only conclusion (I) follows.,Both conclusions (I) and (II) follow.,Only conclusion (II) follows.,Neither conclusion (I) nor (II) follows.,1,General Intelligence and Reasoning,2024
"Harry starts from Point A and drives 1 km towards the south. He then takes a right turn and drives 5 km, then turns right and drives 8 km. He then takes a right turn and drives 15 km. He takes a final right turn, drives 7 km and stops at Point P. How far (shortest distance) and in which direction should he drive in order to reach Point A again? (All turns are 90-degree turns only unless specified.)",9 km to the west,5 km to the west,10 km to the west,8 km to the west,3,General Intelligence and Reasoning,2024
