question_text,option_a,option_b,option_c,option_d,correct_index,section_name,year
"Which company signed a ₹1,220 crore deal for Software Defined Radios with Defence Ministry in February 2023?",Hindustan Shipyard,Reliance Naval Systems,L&T,Bharat Electronics Limited,3,General Awareness,2023
Which of the following cases CANNOT be taken up by a Lok Adalat?,Land acquisition cases,Motor accident claims,Divorce disputes under mutual consent,Non-compoundable criminal offences,3,General Awareness,2023
Who among the following was conferred with a Padma Vibhushan Award 2023 (Posthumous) in the field of literature in April 2023?,Shri MT Vasudevan Nair,Shri Nandamuri Balakrishna,Dr. Duvvur Nageshwar Reddy,Shri Shekhar Kapur,0,General Awareness,2023
In which year was the National Disaster Response Force (NDRF) formed under the Disaster Management Act of 2005?,2005,2006,2007,2004,1,General Awareness,2023
Which of the following players broke National Record in Women’s 3000 m steeplechase at Doha Diamond League 2023 and qualified for the World Athletics Championships?,Ekta Pradeep Dey,Parul Chaudhary,Chaitali Borekar,Garima Yadav,1,General Awareness,2023
Which of the following substances is classified as an elastomer?,Tissue in Veins,Tissue in Kidney,Tissue of Aorta,Tissue in Pancreas,2,General Awareness,2023
"During the Revolt of 1857, Rani Laxmibai led the rebellion from:",Jhansi,Kanpur,Faizabad,Awadh,0,General Awareness,2023
"As announced in January 2023, which Indian pharmaceutical company is set to manufacture Paracetamol domestically?",Satya Deepika Pharmaceuticals,Lupin,Ajanta Pharmaceuticals,Akums Laboratories,0,General Awareness,2023
Who introduced the Permanent Settlement in British India?,Lord Dalhousie,Lord Wellesley,Lord Cornwallis,Thomas Munro,2,General Awareness,2023
"Which Constitutional Amendment added the words 'Socialist', 'Secular' and 'Integrity' to the Preamble of the Indian Constitution?",44th Amendment,38th Amendment,42nd Amendment,52nd Amendment,2,General Awareness,2023
"______ is a classical dance form characterised by elaborate facial makeup, colourful costumes, and themes from Hindu epics, mainly performed by male dancers.",Bharatanatyam,Mohiniyattam,Kathak,Kathakali,3,General Awareness,2023
"After his election as the first American pope, what papal name did Cardinal Robert Prevost choose?",Pope Leo XIV,Pope John XXIV,Pope Francis II,Pope Benedict XVII,0,General Awareness,2023
Which of the following exercises was jointly conducted by the Indian Army and NDRF on May 2023 as a large-scale humanitarian assistance and disaster relief (HADR) simulation?,Prakampana,Rashtriya,Shakti,Mitra Shakti,1,General Awareness,2023
A primary goal of LPG reforms was macroeconomic stabilisation. Which indicator improved significantly post-1991 reforms?,Revenue deficit,Fiscal deficit,Foreign exchange reserves,Rural unemployment,2,General Awareness,2023
Who among the following decides the allocation of portfolios among Indian state ministers?,Chief Minister,Governor,Prime Minister,Chief Justice of the High Court,0,General Awareness,2023
Which of the following is the correct terminology for the gap between two neurons where they communicate?,Dendritic cleft,Node gap,Axonal gap,Synaptic cleft,3,General Awareness,2023
What does CPU stand for in computer systems?,Control Processing Unit,Central Program Unit,Central Processing Unit,Computer Processing Unit,2,General Awareness,2023
"In January 2023, the Gujarat government declared the 'Inland Mangrove of Guneri', located in which district, as its first Biodiversity Heritage Site (BHS)?",Morbi,Rajkot,Kutch,Vadodara,2,General Awareness,2023
"Which farming type involves small landholdings, simple tools, and production mainly consumed by farmers and their families in India?",Plantation farming,Subsistence farming,Commercial farming,Commercial grain farming,1,General Awareness,2023
"During which of the following seasons was the National Agricultural Insurance Scheme launched to protect the farmers against crop losses suffered on account of natural calamities such as droughts, floods, hailstorms, cyclones, pests and diseases?",Rabi 1999-2000,Kharif 1998-1999,Kharif 2001-2002,Rabi 2005-2006,0,General Awareness,2023
"Which memory is non-volatile, meaning it retains data even after the computer is turned off?",RAM,Virtual Memory,ROM,Cache Memory,2,General Awareness,2023
Which city hosted the inaugural World Audio Visual & Entertainment Summit (WAVES) in May 2023?,Hyderabad,Mumbai,Chennai,Bengaluru,1,General Awareness,2023
What is a key obligation of citizens toward fellow citizens and society?,Maintain political silence responsibly,Serve in the military automatically and responsibly,Pay higher taxes than others,"Participate morally and socially, not just legally",3,General Awareness,2023
Who among the following was the first Indian athlete to win an Olympic gold medal?,Milkha Singh,Neeraj Chopra,KD Jadhav,Abhinav Bindra,3,General Awareness,2023
Find the value of: [616 ÷ (26 + 9 × (5 – 7))].,1.78,2.79,3.82,4.77,3,Mathematics,2023
"Two pipes can fill a cistern, individually, in 16 minutes and 32 minutes, respectively. There is a pipe located at the bottom of the cistern to empty it. If all the three pipes are opened simultaneously, then the empty cistern gets filled in 12 minutes. How long will the pipe at the bottom of the tank take to empty the completely filled cistern if no other pipe is then open?",144 minutes,2.99 minutes,3.160 minutes,4.192 minutes,1,General Awareness,2024
Find the mean proportional of 490 and 10.,1.71,2.70,3.68,4.67,1,General Awareness,2024
Evaluate: (-9) - (-60) + (-10) + (-2) × 7,-28,-31,-32,-29,3,General Awareness,2024
"M and N start a business. M invests ₹39,000 more than N for 4 months and N invests for 7 months. M's share is ₹280 more than that of N, out of a total profit of ₹4,864. Find the capital contributed by M.","₹70,322","₹70,391","₹70,200","₹70,243",2,General Awareness,2024
"The population of a district is 374000, out of which 165000 are males. 21% of the population is literate. If 40% males are literate, then what percentage of females are literate?",1.7%,2.8%,3.6%,4.5%,2,General Awareness,2024
"A product is marked at ₹7,500. Two successive discounts of 8% and 5% are offered. What is the final selling price?","₹5,125","₹6,555","₹5,655","₹4,525",1,General Awareness,2024
The value of 5/2 + (1/(1 + 3/8)) - 5/3 is,95/69,103/66,3/50,113/72,1,Mathematics,2023
"In covering a distance of 60 km, Pranay takes 6 hours more than Aman. If Pranay doubles his speed, then he would take 3 hours less than Aman. Pranay's speed is:",1.12 km/hr,2.2 km/hr,3.9 km/hr,4.11 km/hr,1,Mathematics,2023
The LCM of the numbers 5.1 and 0.102 is:,1.051,2.0051,5.51,4.51,2,Mathematics,2023
"Find the simple interest (in ₹) on ₹1,200 at an interest rate of 4% per month for 4 months.",₹32,₹16,₹36,₹192,3,Mathematics,2023
By how much is 65% of 55 greater than 2/5 of 15?,1.23.75,2.27.75,3.29.75,4.26.75,2,Mathematics,2023
"Pipe A can fill a tank in 20 hours, pipe B can fill the same tank in 25 hours and pipe C can fill the same tank in 10 hours. The time taken by them to fill the same tank if they operate together is:",11 5/19 hours,5 5/19 hours,3 5/19 hours,2 5/19 hours,1,Mathematics,2023
The product of two consecutive natural numbers is 600. The greater of the two numbers is:,1. 31,2. 40,3. 16,4. 25,3,Mathematics,2023
The selling price of 50 books is equal to the cost price of 16 books. Find the loss or gain percentage.,1. 68% gain,2. 100/3% loss,3. 68% loss,4. 100/3% gain,2,Mathematics,2023
"5 years ago, the age of a father was 11 years more than twice his son’s age. After how many years, from now, will he be twice his son’s age?",1. 6,2. 5,3. 10,4. 4,0,Mathematics,2023
A man riding on a bicycle at a speed of 24 km/hr crosses a bridge in 3.1 minutes. Find the length of the bridge.,1. 1.24 km,2. 1.64 km,3. 0.34 km,4. 0.62 km,0,Mathematics,2023
Simplify: 3((4/3)x² - 24x + 18) - 4(x² + 7x - 18),1. 100x + 126,2. -100x - 126,3. -100x + 126,4. 100x - 126,2,Mathematics,2023
"Which of the following numbers divides 54,10,96,943?",1. 87,2. 97,3. 107,4. 103,1,Mathematics,2023
The simple interest on a certain sum for 4\frac{1}{5} years at the rate of 2.5% What will be the amount payable on the same sum at the rate of 8.1%,"₹1,46,420","₹1,46,429","₹1,46,404","₹1,46,416",0,Mathematics,2024
"A, B and C started a business investing ₹1,340, ₹1,100 and ₹2,440, respectively. If B's share in the profit earned by them is ₹814, what is the difference in the profit (in ₹) earned by A and C?",₹815,₹814,₹816,₹811,1,Mathematics,2024
"In ΔABC, BD ⊥ AC at D and ∠DBC = 29°. E is a point on BC such that ∠CAE = 25°. What is the measure of ∠AEB?",100°,86°,90°,93°,1,Mathematics,2024
"On a marked price of ₹5,000, a dealer offers successive discounts of 10% and 5%. Find the selling price.","₹4,250","₹4,275","₹4,280","₹4,320",1,Mathematics,2024
"If cot²θ = \frac{1}{(1 - a²)} + |a| < 1, and θ is an acute angle, then find the value",(4 - a²),(a² - 8),(2 - a²)\frac{3}{2},(2 - a²),2,Mathematics,2024
"An open metallic box is 60 cm long, 40 cm wide and 23 cm high. Its thickness is 3 cm. If 1 cm³ of metal used in the box weighs 0.5 grams, find the weight (in kg) of the box.",10.42,8.46,9.24,10.82,2,Mathematics,2024
"What is the area (rounded off to the nearest integer) of a triangle whose three sides measure 11 cm, 15 cm and 16 cm?",1.82 cm²,2.84 cm²,3.79 cm²,4.87 cm²,2,Mathematics,2024
"The average weight (in kg) of a family of five members, whose weights are 40 kg, 49 kg, 56 kg, 74 kg, and 59 kg, is:",1.52.6,2.51.6,3.53.6,4.50.6,1,Mathematics,2024
"The average price of three items of furniture is ₹16860. If their prices are in the ratio 3:5:7, the price of the costliest item (in ₹) is:",1.5620,2.23604,3.10116,4.7868,0,Mathematics,2024
The sum of two numbers is 84 and their L.C.M. is 120. What are the two numbers?,"1.58, 26","2.53, 31","3.65, 19","4.60, 24",3,Mathematics,2024
Amit bought some erasers at the rate of ₹150 a dozen. He sold them for ₹42 each. His profit percentage is ______%.,1.234,2.236,3.238,4.240,1,Mathematics,2024
Each of the digits in the number 3516984 is arranged in the ascending order from left to right. What will be the sum of the digits that are third from the left and third from the right in the new number thus formed?,1.7,2.12,3.10,4.9,2,General Intelligence and Reasoning,2024
"In a certain code language, 'LOAN' is coded as '4257' and 'NIKE' is coded as '1346'. What is the code for 'N' in the given code language?",1.4,2.6,3.1,4.7,0,General Intelligence and Reasoning,2024
"Which of the following letter-number clusters will replace the question mark (?) in the given series to make it logically complete? DLY 15, BJW 22, ZHU 29, XFS 36, ?",VER 42,VDP 41,WER 43,VDC 43,3,Mathematics,2024
"Read the given statements and conclusions carefully. Assuming that the information given in the statements is true, even if it appears to be at variance with commonly known facts, decide which of the given conclusion(s) logically follow(s) from the statements. Statements: Some laptops are computers. No computer is a mobile. Conclusions (I): No laptop is a mobile. Conclusions (II): Some laptops are mobile.",Neither conclusion (I) nor (II) follows.,Only conclusion (II) follows.,Both conclusions (I) and (II) follow.,Only conclusion (I) follows.,0,Mathematics,2024
"Read the given statements(s) and conclusions carefully. Assuming that the information given in the statements is true, even if it appears to be at variance with commonly known facts, decide which of the given conclusions logically follow(s) from the statement(s). Statements: Some crafts are handlooms. All shawls are handlooms. Conclusions: (I) Some crafts are shawls. (II) All handlooms are shawls.",Both conclusions (I) and (II) follow.,Only conclusion (II) follows.,Only conclusion (I) follows.,Neither conclusion (I) nor (II) follows.,3,Mathematics,2024
What should come in place of the question mark (?) in the given series? 191 192 196 205 221 ?,1 236,2 246,3 231,4 241,1,Mathematics,2024
"In a row of certain number of people facing north, Rahul is sitting 245th from the left end and 19th from the right end. What is the total number of people in that row?",263,264,236,226,0,Mathematics,2024
"DJMS is related to FORU in a certain way based on the English alphabetical order. In the same way, LDGA is related to NILC. To which of the given options is RSVG related, following the same logic?",TXAI,TXSW,TAXI,TIXA,0,Mathematics,2024
"Based on the English alphabetical order, three of the following four letter-clusters are alike in a certain way and thus form a group. Which letter-cluster DOES NOT belong to that group? (Note: The odd one out is not based on the number of consonants/vowels or their position in the letter-cluster)",ZTV,CXZ,OJL,IDF,1,Mathematics,2024
What should come in place of the question mark (?) in the given series? 890 891 893 896 900 ?,906,904,903,905,3,Mathematics,2024
Town P is to the south of Town Q. Town R is to the west of Town Q. Town S is to the west of Town R. Town T is to the north of Town S and also to the south of Town U. What is the position of Town U with respect to Town S?,North,South,West,East,0,Mathematics,2024
"Seven boxes P, Q, R, S, X, Y and Z are kept one over the other, but not necessarily in the same order. Boxes R and S are kept from the bottom. Only two boxes are kept between Z and R. X is kept at one of the positions below Z. Only one box is kept between S and Y. P is kept at one of the positions above R. How many boxes are kept between Q and R?",Three,Four,Two,One,2,Mathematics,2024
"I, J, K, L, O, P and Q are sitting around a circular table, facing the centre of the table. P sits third to the left of K. O sits second to the left of J. Only K sits between Q and O. L is not an immediate neighbour of P. How many people sit between I and O when counted from the right of I?",One,Two,Three,Four,1,Mathematics,2024
Each of the digits in the number 5645321 is arranged in ascending order from left to right. What will be the sum of the digits that are second from the left and second from the right in the new number thus formed?,1. 8,2. 5,3. 6,4. 4,0,Mathematics,2024
"In the following triads, each group of letters is related to the subsequent one following a certain logic. Select from the given options, the one which follows the same logic.",ABLE - BLAE - ELBA,ITEM - TEIM - METI,SLOT - LOST - TOLS,CAME - AMCE - AMEC,2,Mathematics,2024
"In a certain code language, 'learning is lifelong' is written as 'fk mb tb' and 'is school over' is coded as 'jt mt fk'. How is 'is' coded in the given language?",1. tb,2. jt,3. mb,4. fk,3,Mathematics,2024
"What will come in the place of the question mark (?) in the following equation, if '+' and '-' are interchanged and 'x' and '/' are interchanged? 72 x 3 - 8 + 5 + 31 = ?",1. 31,2. 33,3. 35,4. 37,1,Mathematics,2024
What should come in place of the question mark (?) in the given series? 56 58 63 73 90 ?,1. 112,2. 115,3. 116,4. 114,2,Mathematics,2024
"This question is based on the five, three-digit numbers given below. (Left) 512 648 729 575 462 (Right) (Example: 697 = First digit = 6, second digit = 9 and third digit = 7) (NOTE: All operations to be done from left to right.) What will be the resultant if the first digit of the lowest number is added to the third digit of the highest number?",1. 11,2. 10,3. 13,4. 12,3,Mathematics,2024
Refer to the following number and symbol series and answer the question that follows. Counting to be done from left to right only. (Left) 5 8 £ 1 7 & $ $ 7 # 4 1 8 9 @ 7 5 7 £ @ 2 & (Right) How many such numbers are there each of which is immediately preceded by a number and also immediately followed by a number?,"1, 4","2, 2","3, 3","4, 5",2,Mathematics,2024
"In the following number-pairs, the second number is obtained by applying certain mathematical operations to the first number. Select the set in which the numbers are related in the same way as are the numbers of the following sets. (NOTE: Operations should be performed on the whole numbers, without breaking down the numbers into their constituent digits. E.g. 13 - Operations on 13 such as adding/subtracting/multiplying to 13 can be performed. Breaking down 13 into 1 and 3 and then performing mathematical operations on 1 and 3 is not allowed.)","300, 194","1, 255, 159","2, 272, 166","3, 240, 124",1,Mathematics,2024
"A, B, C, D, E, F and G are sitting around a circular table facing the centre. B sits third to the left of G. C sits second to the left of B. E sits to the immediate right of D. E sits to the immediate right of G. How many people sit between A and D when counted from the left of A?",Three,One,Four,Two,2,Mathematics,2024
"Based on the English alphabetical order, three of the following four letter-clusters are alike in a certain way and thus form a group. Which letter-cluster DOES NOT belong to that group? (Note: The odd one out is not based on the number of consonants/vowels or their position in the letter-cluster.)",ICWS,NHBX,KFYU,DXRN,1,Mathematics,2024
"Based on the English alphabetical order, three of the following four letter-cluster pairs are alike in a certain way and thus form a group. Which letter-cluster pair DOES NOT belong to that group? (Note: The odd one out is not based on the number of consonants/vowels or their position in the letter-cluster.)",YB-ZF,EH-GJ,IL-KN,PS-RU,0,Mathematics,2024
What should come in place of the question mark (?) in the given series based on the English alphabetical order? UNA OHU IBO CVI ?,WPC,WPS,WCP,WSP,0,Mathematics,2024
"MJRN is related to KHPL in a certain way based on the English alphabetical order. In the same way, PMUQ is related to NKSO. To which of the given options is SPXT related, following the same logic?",QNVR,QNRV,NQRV,NQVR,0,Mathematics,2024
"Seven boxes A, B, C, D, E, F and G are kept one over the other but not necessarily in the same order. D is kept immediately above A. G is kept immediately above B. Only E is kept above C. Only two boxes are kept above D. G is not kept at the third position from the bottom. How many boxes are kept above G?",3,4,3,2,0,Mathematics,2024
"If 1 is added to each odd digit and 2 is subtracted from each even digit in the number 8147563, what will be the sum of the digits that are second from the left and second from the right?",4,14,6,10,2,Mathematics,2024
I is the daughter of X. K is the son of R. X is married to Z. Z is the mother of N. F is married to R. F is the brother of X. How is X related to K?,Mother's brother,Father,Father's brother,Father's father,2,Mathematics,2024
"Bimal starts from Point Y and drives 44 km towards south. He then takes a left turn, drives 56 km, turns right and drives 31 km. He then takes a right turn and drives 23 km. He then takes a left turn, drives 38 km, turns right and drives 35 km. He then takes a left turn, drives 53 km, turns right and drives 19 km to stop at Point Z. How far (shortest distance) and towards which direction should he drive in order to reach Point Y again? (All turns are 90° turns only unless specified.)",90 km towards west,87 km towards east,84 km towards south,92 km towards east,0,Mathematics,2024
"In 2025, which organisation has developed a new nanoporous multilayered polymeric membrane for high-pressure seawater desalination?",Indian Institute of Science,Defence Research & Development Organisation,Council of Scientific and Industrial Research,Bharat Heavy Electricals Limited,1,General Awareness,2024
Which Article of the Indian Constitution mentions the Council of Ministers to aid and advise the President?,Article 76,Article 86,Article 80,Article 74,3,General Awareness,2024
"In which of the following years was the National Telecom Policy (NTP), that envisaged the objective of one public call office (PCO) for every 500 persons in the urban areas, formulated?",1992,1999,1997,1994,3,General Awareness,2024
"In 2025, which State/UT's police launched the 'Shishtachar' squad to keep a check on sexual harassment of women in public places?",Maharashtra,Haryana,Delhi,Puducherry,2,General Awareness,2024
Gandhiji gave a call for a satyagraha against the Rowlatt Act in which of the following years?,1919,1930,1922,1915,0,General Awareness,2024
"In 2023, the United Nations called for peace talks between which two countries after missile exchanges intensified their long-standing conflict?",North Korea and South Korea,India and Sri Lanka,Russia and Ukraine,Israel and Iran,3,General Awareness,2023
"Vembanad Lake, India's longest lake facing severe degradation, is located in which state?","Kerala, known for its backwaters and lagoons","West Bengal, near the Sundarban mangrove forests","Odisha, famous for Chilika Lake ecosystem","Assam, home to the Brahmaputra river basin",0,General Awareness,2023
Which foreign trade relation was badly affected when Byzantium learned silk production in the 6th century CE?,Indo-Byzantine trade,Indo-Roman trade,Indo-Arab trade,Indo-Persian trade,0,General Awareness,2023
Which of the following Directive Principles of State Policy is provided under Article 40 of the Indian Constitution?,Organisation of agriculture and animal husbandry,Promotion of cottage industries in rural areas,Provision for a uniform civil code,Organisation of village panchayats,3,General Awareness,2023
Climatic maps are primarily based on data related to:,industrial zones,temperature and rainfall,population growth,soil moisture content only,1,General Awareness,2023
"In which year was India's first operational six-lane expressway, the approximately 95 km long Mumbai-Pune Expressway, inaugurated?",2004,2002,2000,1998,1,General Awareness,2023
Which of the following is a classification of economic activities undertaken by the Central Statistical Organisation (CSO) in India?,Industrial Classification Structure-2005,National Industrial Classification-1998,National Code for Agriculture and Industrial Classification-2009,Classification Code of India-2000,1,General Awareness,2023
Which of the following is an example of plasticity in plants?,Phototropism,Heterophylly,Vernalisation,Photoperiodism,1,General Awareness,2023
Which of the following elements has the largest atomic radius?,K,Na,Li,Rb,3,General Awareness,2023
What is the function of the Alt + F4 shortcut?,Saves the document,Closes the current window or application,Refreshes the browser,Opens a new window,1,General Awareness,2023
Unemployment reflects the inability of the economy to provide jobs to those willing to work. Which organisation conducts the Periodic Labour Force Survey (PLFS) in India?,NITI Aayog,NSO (National Statistical Office),RBI (Reserve Bank of India),Ministry of Labour and Employment,1,General Awareness,2023
Who won Best Supporting Actress for her role in Baby Reindeer at the BAFTA TV Awards held at London's Royal Festival Hall in May 2023?,Jessica Gunning,Olivia Colman,Lesley Manville,Helena Bonham Carter,0,General Awareness,2023
"Which of the following influential poets was renowned for employing utkarsa (also written as utkarsh), a distinctive poetic style characterised by paradoxes and enigmas?",Agyeya,Kabir,Bal Krishna Sharma Naveen,Ramdhari Singh Dinkar,1,General Awareness,2023
Who among the following is a famous Indian classical dancer known for popularising Bharatanatyam globally?,Hema Malini,Mallika Sarabhai,Rukmini Devi Arundale,Sonal Mansingh,2,General Awareness,2023
Which eminent Kathak dancer from Gujarat was awarded the Padma Vibhushan in 2023 for her outstanding contributions to Indian classical dance?,Sonal Mansingh,Mallika Sarabhai,Rukmini Devi,Kumudini Lakhia,3,General Awareness,2023
"Which river rises in the Gangotri glacier near Gaumukh (3,900 m) in the Uttarkashi district?",Bhagirathi river,Chenab river,Yamuna river,Son river,0,General Awareness,2023
What is one key benefit of India's Digital Public Infrastructure (DPI) model shared at the BRICS meeting in 2025?,Reducing financial exclusion,Promoting space exploration,Increasing tax rates,Exporting digital gadgets,0,General Awareness,2023
Which of the following statements is correct about Article 323B of the Constitution?,"It permits tribunals for matters like taxation, land reforms, and labour disputes.",It empowers states to establish tribunals for local governance.,It allows the creation of tribunals only for the armed forces.,It restricts tribunals to environmental cases only.,0,General Awareness,2023
On which river is the Bhakra Nangal Dam constructed?,Yamuna,Ravi,Ganga,Satluj,3,General Awareness,2023
Which country retained the top spot for the second consecutive year in the Henley Passport Index released in January 2025?,Singapore,South Korea,Japan,Germany,0,General Awareness,2023
What was a major challenge faced by the Indian manufacturing sector after liberalisation?,Increased competition from cheaper imports,Shortage of raw materials,High industrial licensing fees,Decline in capital inflow,0,General Awareness,2023
Which of the following is a reason for the uneven distribution of rainfall in India during the southwest monsoon?,Mountain ranges influence wind direction and intensity,The Himalayas stop all monsoon rainfall.,Monsoon winds blow equally everywhere.,Southern states alone receive all rainfall.,0,General Awareness,2023
Which of the following elements belongs to the s-block of the periodic table?,Iron,Calcium,Uranium,Chlorine,1,General Awareness,2023
Which Article was inserted into the Constitution by the 103rd Amendment Act to provide for EWS reservation?,Article 15(6) and 16(6),Article 21C and 22A,Article 14A and 16A,Article 18A and 19A,0,General Awareness,2023
Which of the following subjects falls under the Concurrent List?,Banking,Police,Criminal law,Defence,2,General Awareness,2023
Which of the following Articles deals with the Right against Exploitation?,Articles 25–28,Articles 23–24,Articles 31–32,Articles 29–30,1,General Awareness,2023
Who among the following Mughal rulers is considered to be the last powerful Mughal ruler?,Shah Jahan,Bahadur Shah Zafar,Aurangzeb,Dara Shukoh,2,General Awareness,2023
The Faraizi Movement was a religious reform movement of the 19th century in _____,Gujarat,Rajasthan,Maharashtra,Bengal,3,General Awareness,2023
"The Centre of Excellence on ‘Classical and Quantum Communications for 6G’ inaugurated at IIT-Madras in July 2024, functions under which umbrella programme?",IN-SPACE,SAMARQAND,Telecom Centres of Excellence (TCoE)-India,MeitY FutureNET,2,General Awareness,2023
In which year was the Second Pay Commission appointed in India?,1965,1950,1962,1957,3,General Awareness,2023
Buddha Purnima was celebrated on which date in 2025?,12 May,23 March,10 April,19 February,0,General Awareness,2023
Which Article was inserted into the Constitution by the 103rd Amendment Act to provide for EWS reservation?,Article 15(6) and 16(6),Article 21C and 22A,Article 14A and 16A,Article 18A and 19A,0,General Awareness,2023
Which of the following subjects falls under the Concurrent List?,Banking,Police,Criminal law,Defence,2,General Awareness,2023
Which of the following Articles deals with the Right against Exploitation?,Articles 25–28,Articles 23–24,Articles 31–32,Articles 29–30,1,General Awareness,2023
Who among the following Mughal rulers is considered to be the last powerful Mughal ruler?,Shah Jahan,Bahadur Shah Zafar,Aurangzeb,Dara Shukoh,2,General Awareness,2023
The Faraizi Movement was a religious reform movement of the 19th century in _____,Gujarat,Rajasthan,Maharashtra,Bengal,3,General Awareness,2023
"The Centre of Excellence on ‘Classical and Quantum Communications for 6G’ inaugurated at IIT-Madras in July 2024, functions under which umbrella programme?",IN-SPACE,SAMARQAND,Telecom Centres of Excellence (TCoE)-India,MeitY FutureNET,2,General Awareness,2023
In which year was the Second Pay Commission appointed in India?,1965,1950,1962,1957,3,General Awareness,2023
Buddha Purnima was celebrated on which date in 2025?,12 May,23 March,10 April,19 February,0,General Awareness,2023
"The Ministry of Environment, Forest and Climate Change (MoEFCC), in collaboration with which of the following universities, organised the symposium 'India 2047: Building a Climate-Resilient Future' at Bharat Mandapam, New Delhi, in March 2025?",Massachusetts Institute of Technology,Harvard University,University College London,University of Toronto,1,General Awareness,2023
"Which Indian ministry has put in the public domain the Draft National Code Against Age Fraud in Sports (NCAAFS) 2025 for inviting comments and suggestions from the general public and stakeholders, as part of the consultation process in March 2025?",Ministry of Youth Affairs and Sports,Ministry of Social Justice and Empowerment,Ministry of Health and Family Welfare,Ministry of Law and Justice,0,General Awareness,2023
Which key is used to rename a file or folder in Windows?,CTRL + N,F5,ESC + N,F2,3,Mathematics,2023
"According to the 2025 report by McKinsey & Company and BoF, by what percentage is India's ultra-high-net-worth individual (UHNWI) population expected to grow by 2029?",50%,60%,30%,40%,0,Mathematics,2023
"Find the simple interest (in ₹) on ₹1,200 at an interest rate of 4% per month for 6 months.",₹288,₹44,₹48,₹24,3,Mathematics,2023
"If 2 times a mother's present age is 25 years more than 5 times her daughter's present age, and 3 times the daughter's present age is 9 years less than the mother's present age, then what is the difference (in years) between the ages of the mother and the daughter?",23,25,28,20,0,Mathematics,2023
A trader marks his goods at 24% above the cost price. He allows his customer a discount of 13% on the marked price. Find his profit percentage.,6.48%,8.65%,7.88%,5.76%,2,Mathematics,2023
The value of 5/4 + (1/(1 + 5/7)) - 3/5 is,36,23,43,34,4,Mathematics,2023
"Amit, Neha, and Kiran invest ₹1,220, ₹1,370, and ₹1,110, respectively, to start a business. If the profit at the end of the year is ₹1,160, then what is the share of Kiran in the profit?",₹347,₹348,₹351,₹345,1,Mathematics,2023
The sum of two numbers is 52 and their LCM is 651. The two numbers are:,"31, 21","24, 28","36, 16","29, 23",0,Mathematics,2023
"The sides of a right-angled triangle are x cm, (x + 2) cm and (x + 4) cm, respectively. If the area of the triangle is 24 cm², find its perimeter (in cm).",12,30,24,28,2,Mathematics,2023
The LCM of the numbers 2.5 and 0.084 is:,1.546,54.6,0.646,5.46,3,Mathematics,2023
Simplify the following: 1 + cot²θ / 1 + tan²θ,1/tan²θ - 1,cosec²θ - 1,sec²θ - 1,cot²θ - 1,1,Mathematics,2023
The selling price of 40 books is equal to the cost price of 30 books. Find the loss or gain percentage.,100/10 % gain,2.25% gain,100/3 - 10 % loss,8.25% loss,3,Mathematics,2024
A man goes to Indore from Bhopal at a speed of 9 km/hr and returns to Bhopal at speed of 18 km/hr through the same route. What is his average speed (in km/hr) of the entire journey?,1.6,2.12,3.15,4.9,1,Mathematics,2024
Simplify the following: 3[(4/3)x^2 - 21x + 12] - 4(x^2 + 4x - 14),1.79x - 92,2.79x - 92,3.79x + 92,4.79x + 92,3,Mathematics,2024
"If 79% of first number is equal to four-ninths of second number, what is the ratio of first number to the second number?",1.404 : 716,2.400 : 711,3.396 : 709,4.399 : 706,1,Mathematics,2024
"Find the simple interest (in ₹) on ₹4,000 at 6.75% per annum rate of interest deposited on 24 February 2024 and withdrawn on 25 April 2024",₹43,₹44,₹46,₹45,3,Mathematics,2024
"Pipe P can fill 2/9 part of a tank in 20 hours, and pipe Q can fill 5/9 part of a tank in 20 hours. Both P and Q were kept open for 3 hours, then both were closed. Pipe R emptied the water in the tank in 8 hours. Pipes P, Q and R together",1.29 hours,2.42 hours,3.41 hours,4.24 hours,3,Mathematics,2024
"The marks scored by 10 students are given below. 20, 20, 20, 19, 14, 18, 20, 12, 11, 17. The mode of the data is:",14,18,20,19,2,Mathematics,2023
"On the eve of new year, a branded washing machine is sold for ₹34,340 after allowing 15% discount. What is its marked price (in ₹)?","44,000","40,400","45,400","44,500",1,Mathematics,2023
A number when increased by 100% gives 2760. The number is:,"1,680","2,760","4,140","1,380",3,Mathematics,2023
"Given that 95^0.53 = x, 95^0.83 = y and x^2 = y^3, then the value of z is close to:",12.53,11.75,13.4,15.92,0,Mathematics,2023
The value of 3^2 + √4^2 - 5√81 - 4 is,-41,-36,-32,-42,1,Mathematics,2023
"The cost of 9 pens and 14 pencils is ₹95. If the cost of a pen decreases by ₹3 and the cost of a pencil increases by ₹7, then the cost of 9 pens and 3 pencils is ₹78. What is the original cost of 17 pens and 13 pencils?",₹169,₹162,₹161,₹168,3,Mathematics,2023
Train A leaves station M at 7:55 a.m. and reaches station N at 2:55 p.m. on the same day. Train B leaves station N at 9:55 a.m. and reaches station M at 2:55 p.m. on the same day. Find the time when Trains A and B meet.,1:49 a.m.,4:08 p.m.,4:48 p.m.,12:00 p.m.,3,Mathematics,2023
ABCD is a trapezium in which BC || AD and AC = CD. If ∠ABC : ∠ACD (in degree)?,84,82,92,75,0,Mathematics,2023
"The population of a district is 342000, out of which 228000 are males. 44% of the population is literate. If 59% males are literate, then what percentage of females are literate?",17%,14%,16%,12%,1,Mathematics,2023
Which of the following numbers divides 488309139?,13,9,10,11,1,Mathematics,2023
